,Seed,Step,Coverage,Param
0,0,2,30,"('--experimental_cross_over_frequency=1',)"
1,0,3,35,"('--experimental_cross_over_frequency=1',)"
2,0,4,78,"('--experimental_cross_over_frequency=1',)"
3,0,6,81,"('--experimental_cross_over_frequency=1',)"
4,0,25,81,"('--experimental_cross_over_frequency=1',)"
5,0,34,83,"('--experimental_cross_over_frequency=1',)"
6,0,39,83,"('--experimental_cross_over_frequency=1',)"
7,0,41,83,"('--experimental_cross_over_frequency=1',)"
8,0,42,83,"('--experimental_cross_over_frequency=1',)"
9,0,43,83,"('--experimental_cross_over_frequency=1',)"
10,0,44,83,"('--experimental_cross_over_frequency=1',)"
11,0,46,105,"('--experimental_cross_over_frequency=1',)"
12,0,47,105,"('--experimental_cross_over_frequency=1',)"
13,0,54,105,"('--experimental_cross_over_frequency=1',)"
14,0,55,106,"('--experimental_cross_over_frequency=1',)"
15,0,57,106,"('--experimental_cross_over_frequency=1',)"
16,0,60,115,"('--experimental_cross_over_frequency=1',)"
17,0,67,118,"('--experimental_cross_over_frequency=1',)"
18,0,71,118,"('--experimental_cross_over_frequency=1',)"
19,0,73,118,"('--experimental_cross_over_frequency=1',)"
20,0,74,118,"('--experimental_cross_over_frequency=1',)"
21,0,75,118,"('--experimental_cross_over_frequency=1',)"
22,0,79,119,"('--experimental_cross_over_frequency=1',)"
23,0,83,120,"('--experimental_cross_over_frequency=1',)"
24,0,100,120,"('--experimental_cross_over_frequency=1',)"
25,0,101,120,"('--experimental_cross_over_frequency=1',)"
26,0,106,120,"('--experimental_cross_over_frequency=1',)"
27,0,110,120,"('--experimental_cross_over_frequency=1',)"
28,0,122,120,"('--experimental_cross_over_frequency=1',)"
29,0,128,124,"('--experimental_cross_over_frequency=1',)"
30,0,135,124,"('--experimental_cross_over_frequency=1',)"
31,0,138,124,"('--experimental_cross_over_frequency=1',)"
32,0,149,124,"('--experimental_cross_over_frequency=1',)"
33,0,152,124,"('--experimental_cross_over_frequency=1',)"
34,0,174,124,"('--experimental_cross_over_frequency=1',)"
35,0,178,124,"('--experimental_cross_over_frequency=1',)"
36,0,181,127,"('--experimental_cross_over_frequency=1',)"
37,0,186,128,"('--experimental_cross_over_frequency=1',)"
38,0,187,128,"('--experimental_cross_over_frequency=1',)"
