,Seed,Step,Coverage
0,0,2,31
1,0,7,78
2,0,9,83
3,0,10,84
4,0,11,85
5,0,17,85
6,0,19,104
7,0,20,105
8,0,22,115
9,0,23,115
10,0,24,115
11,0,25,115
12,0,26,115
13,0,28,118
14,0,29,118
15,0,45,118
16,0,50,119
17,0,66,120
18,0,67,125
19,0,70,128
20,0,72,133
21,0,81,137
22,0,92,137
23,0,103,138
24,0,114,139
25,0,118,139
26,0,128,146
27,0,139,147
28,0,146,147
29,0,159,148
30,0,162,148
31,0,171,150
32,0,176,158
33,0,191,159
34,0,198,159
35,0,200,159
36,0,201,161
37,0,222,162
38,0,225,163
39,0,234,164
40,0,239,167
41,0,253,167
42,0,290,167
43,0,317,167
44,0,328,167
45,0,334,167
46,0,349,176
47,0,351,176
48,0,356,178
49,0,370,178
50,0,403,178
51,0,407,181
52,0,420,183
53,0,430,184
54,0,487,192
55,0,534,197
56,0,540,197
57,0,550,197
58,0,554,200
59,0,555,210
60,0,578,214
61,0,588,214
62,0,596,214
63,0,608,214
64,0,614,217
65,0,620,217
66,0,678,217
67,0,727,217
68,0,768,217
69,0,769,217
70,0,780,217
71,0,781,218
72,0,795,220
73,0,852,220
74,0,891,220
75,0,903,220
76,0,924,224
77,0,988,224
78,0,1010,224
79,0,1064,224
80,0,1139,224
81,0,1165,229
82,0,1374,229
83,0,1399,229
84,0,1401,230
85,0,1415,230
86,0,1426,230
87,0,1440,232
88,0,1504,234
89,0,1544,234
90,0,1676,235
91,0,1687,235
92,0,1798,236
93,0,1828,236
94,0,1931,236
95,0,1948,236
96,0,1954,236
97,0,1978,236
98,0,1998,236
99,0,2027,236
100,0,2038,236
101,0,2039,238
102,0,2076,238
103,0,2099,238
104,0,2179,243
105,0,2185,243
106,0,2186,270
107,0,2195,271
108,0,2204,271
109,0,2261,271
110,0,2262,271
111,0,2263,271
112,0,2296,271
113,0,2319,271
114,0,2420,271
115,0,2425,271
116,0,2537,271
117,0,2580,272
118,0,2671,272
119,0,2704,276
120,0,2717,276
121,0,2719,276
122,0,2726,276
123,0,2744,276
124,0,2751,276
125,0,2757,276
126,0,2780,276
127,0,2816,277
128,0,2866,278
129,0,2997,278
130,0,3008,278
131,0,3037,278
132,0,3040,278
133,0,3138,282
134,0,3153,282
135,0,3164,282
136,0,3180,282
137,0,3246,282
138,0,3472,283
139,0,3473,283
140,0,3488,283
141,0,3501,286
142,0,3503,286
143,0,3533,286
144,0,3599,287
145,0,3600,287
146,0,3606,288
147,0,3615,289
148,0,3626,290
149,0,3757,292
150,0,3858,292
151,0,3878,292
152,0,3901,296
153,0,3937,297
154,0,4010,298
155,0,4035,298
156,0,4091,300
157,0,4144,302
158,0,4193,302
159,0,4267,302
160,0,4294,302
161,0,4330,302
162,0,4335,302
163,0,4464,302
164,0,4503,302
165,0,4522,308
166,0,4670,308
167,0,4718,308
168,0,4769,310
169,0,4770,310
170,0,4811,312
171,0,4824,312
172,0,4850,324
173,0,4856,327
